strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
e2756b27,bull,s54|s2|s79|s83,4,0.049415,0.016394,26.3909,0.0,-14.1373,51,39.2157,3.1177,0.0,-9.5222,11,36.3636,0.020459,0.0001,0.0832,0.0,0.0,0.2567,0.5376
b209694f,bull,s79|s64|s38|s83,4,0.067024,0.017773,33.1986,0.0,-15.8301,62,32.2581,2.0448,0.0,-12.4497,19,26.3158,0.018915,0.0004,0.0832,0.0,0.0,0.2373,0.5376
c6f93d2f,bear,s23|s81|s51|s101,4,0.070121,0.010548,54.6903,0.0,-6.5096,23,43.4783,25.6631,0.0,-5.4011,11,45.4545,0.049019,0.0,0.0832,0.0,0.0,0.615,0.5376
f14517e2,bear,s89|s80|s100|s51|s98,5,0.03528,0.019117,12.0858,0.0,-14.1832,50,48.0,15.2322,0.0,-5.6178,10,70.0,0.050815,0.0,3.8369,0.0,0.0,0.6375,0.5376
39e13e47,bear,s86|s20|s67|s62,4,0.064983,0.016117,38.0342,0.0,-19.844,46,34.7826,1.2765,0.0,-11.1059,19,26.3158,0.01928,0.0006,0.0832,0.0,0.0,0.2419,0.5376
9772ecbd,bear,s28|s23|s25|s13,4,0.040794,0.015331,16.3701,0.0,-11.872,74,39.1892,6.4032,0.0,-9.6676,23,39.1304,0.052441,0.0,0.0832,0.0,0.0,0.6579,0.5376
b19aac69,bear,s90|s28|s61|s13,4,0.040541,0.018131,16.8622,0.0,-10.5078,67,43.2836,2.5826,0.0,-11.2129,17,41.1765,0.034075,0.0,0.0832,0.0,0.0,0.4275,0.5376
6556918b,bear,s66|s97|s16|s86|s62,5,0.068909,0.015685,30.1588,0.0,-16.4369,53,30.1887,10.2848,0.0,-12.3401,20,30.0,0.037648,0.0,0.0832,0.0,0.0,0.4723,0.5376
7623ce5a,bear,s66|s72|s23|s25|s81,5,0.071156,0.016285,36.8873,0.0,-23.6074,86,27.907,8.4886,0.0,-14.0296,25,28.0,0.037933,0.0003,0.0832,0.0,0.0,0.4759,0.5376
fdbeef24,bull,s39|s53|s59|s73,4,0.055421,0.016581,26.2713,0.0,-15.1922,81,33.3333,7.0382,0.0,-7.0347,17,35.2941,0.038397,0.0,0.0832,0.0,0.0,0.4817,0.5376
